,org,repo,user,date,commits,comments
0,jupyter,nbconvert,Carreau,2016-01-07,5.0,3.0
1,jupyter,nbconvert,Carreau,2016-01-08,1.0,1.0
2,jupyter,nbconvert,Carreau,2016-01-09,1.0,1.0
3,jupyter,nbconvert,Carreau,2016-01-12,1.0,3.0
4,jupyter,nbconvert,Carreau,2016-01-14,1.0,
5,jupyter,nbconvert,Carreau,2016-01-15,2.0,1.0
6,jupyter,nbconvert,Carreau,2016-01-16,1.0,2.0
7,jupyter,nbconvert,Carreau,2016-01-19,2.0,2.0
8,jupyter,nbconvert,Carreau,2016-01-20,1.0,1.0
9,jupyter,nbconvert,Carreau,2016-01-21,1.0,
10,jupyter,nbconvert,Carreau,2016-02-05,1.0,2.0
11,jupyter,nbconvert,Carreau,2016-02-08,1.0,1.0
12,jupyter,nbconvert,Carreau,2016-02-26,1.0,1.0
13,jupyter,nbconvert,Carreau,2016-03-08,3.0,6.0
14,jupyter,nbconvert,Carreau,2016-03-29,1.0,
15,jupyter,nbconvert,Carreau,2016-04-07,2.0,1.0
16,jupyter,nbconvert,Carreau,2016-05-12,1.0,
17,jupyter,nbconvert,Carreau,2016-09-17,2.0,
18,jupyter,nbconvert,Carreau,2016-09-22,1.0,1.0
19,jupyter,nbconvert,Carreau,2016-09-26,1.0,2.0
20,jupyter,nbconvert,Carreau,2016-09-27,1.0,1.0
21,jupyter,nbconvert,Carreau,2016-09-28,1.0,
22,jupyter,nbconvert,Carreau,2016-10-03,1.0,2.0
23,jupyter,nbconvert,Carreau,2016-10-08,1.0,
24,jupyter,nbconvert,Carreau,2016-10-10,1.0,1.0
25,jupyter,nbconvert,Carreau,2016-10-11,1.0,3.0
26,jupyter,nbconvert,Carreau,2016-10-25,1.0,
27,jupyter,nbconvert,Carreau,2016-11-01,1.0,1.0
28,jupyter,nbconvert,Carreau,2016-12-13,2.0,
29,jupyter,nbconvert,Carreau,2017-02-27,1.0,3.0
30,jupyter,nbconvert,Carreau,2017-03-13,1.0,
31,jupyter,nbconvert,Carreau,2017-05-24,1.0,
32,jupyter,nbconvert,Carreau,2017-05-26,1.0,
33,jupyter,nbconvert,Carreau,2017-06-02,1.0,
34,jupyter,nbconvert,Carreau,2017-09-05,1.0,2.0
35,jupyter,nbconvert,Carreau,2017-09-06,1.0,
36,jupyter,nbconvert,Carreau,2018-05-01,1.0,
37,jupyter,nbconvert,Carreau,2018-08-09,2.0,3.0
38,jupyter,nbconvert,Carreau,2018-08-30,2.0,6.0
39,jupyter,nbconvert,Carreau,2018-09-05,1.0,4.0
